date,Player,Sport,Prop,Original,Discounted,Percentage,Actual,Win
"Apr 12, 2024 · 11:28 AM UTC",RJ Barrett,NBA,PTS,19.5,15.5,20.51,5,LOSS
"Apr 10, 2024 · 11:28 AM UTC",Jackson Holliday,MLB,HIT + RUN + RBI,1.5,0.5,66.67,5,WIN
"Apr 10, 2024 · 7:05 PM UTC",Luka Doncic,NBA,PTS,30.5,24.5,19.67,5,LOSS
"Apr 10, 2024 · 5:55 PM UTC",Shai Gilgeous Alexander,NBA,PTS,28.5,22.5,21.05,5,WIN
"Apr 7, 2024 · 11:28 AM UTC",Lebron James,NBA,PTS,23.5,19.5,17.02,5,LOSS
"Apr 7, 2024 · 11:28 AM UTC",Kevin Durant,NBA,PTS,24.5,18.5,24.49,5,WIN
"Apr 7, 2024 · 11:28 AM UTC",Anthony Davis,NBA,PTS,26.5,20.5,22.64,5,LOSS
"Apr 4, 2024 · 11:28 AM UTC",Joel Embiid,NBA,PTS,25.5,20.5,19.61,5,WIN
"Apr 4, 2024 · 11:28 AM UTC",Jalen Green,NBA,PTS,26.5,21.5,18.87,5,LOSS
"Apr 3, 2024 · 4:24 PM UTC",Jayson Tatum,NBA,PTS,25.5,0.5,98.04,5,WIN
"Mar 31, 2024 · 2:00 PM UTC",Luka Doncic,NBA,PTS,33.5,26.5,20.9,5,LOSS
"Mar 31, 2024 · 2:00 PM UTC",Jalen Brunson,NBA,PTS,31.5,24.5,22.22,5,WIN
"Mar 28, 2024 · 7:06 PM UTC",Corbin Burnes,MLB,K,6.5,4.5,30.77,5,LOSS
"Mar 28, 2024 · 7:06 PM UTC",RJ Davis,NCAAM,PTS,22.5,17.5,22.22,5,WIN
"Mar 27, 2024 · 7:06 PM UTC",Zac Gallen,MLB,K,5.5,3.5,36.36,5,LOSS
"Mar 27, 2024 · 4:18 PM UTC",Tyrese Haliburton,NBA,AST,11.5,8.5,26.09,5,WIN
"Mar 24, 2024 · 4:18 PM UTC",Steph Curry,NBA,PTS,24.5,19.5,20.41,5,LOSS
"Mar 24, 2024 · 4:18 PM UTC",Zach Edey,NCAAM,PTS,25.5,20.5,19.61,5,WIN
"Mar 23, 2024 · 7:28 PM UTC",Jack Gohlke,NCAAM,PTS,13.5,10.5,22.22,5,LOSS
"Mar 23, 2024 · 7:28 PM UTC",DJ Burns,NCAAM,PTS,14.5,11.5,20.69,5,WIN
"Mar 21, 2024 · 7:28 PM UTC",Jamal Murray,NBA,PTS,20.5,0.5,97.56,5,LOSS
"Mar 21, 2024 · 7:28 PM UTC",Rob Dillingham,NCAAM,PTS,14.5,0.5,96.55,5,WIN
"Mar 20, 2024 · 7:28 PM UTC",Devin Booker,NBA,PTS,24.5,19.5,20.41,5,LOSS
"Mar 20, 2024 · 4:24 PM UTC",Jayson Tatum,NBA,PTS,26.5,21.5,18.87,5,WIN
"Mar 19, 2024 · 7:10 PM UTC",Tyler Glasnow,MLB,K,6.5,0.5,92.31,5,LOSS
"Mar 17, 2024 · 7:10 PM UTC",Nikola Jokic,NBA,PTS,27.5,21.5,21.82,5,WIN
"Mar 14, 2024 · 7:10 PM UTC",Giannis Antetokounmpo,NBA,PTS,32.5,24.5,24.62,5,LOSS
